"ID","日期","縣市別","區域","新增確診人數","累計確診人數"
"1862","2021-02-28","境外移入","全區","1","878"
"1863","2021-02-28","境外移入","空值","1","878"
"1864","2021-02-27","境外移入","全區","3","877"
"1865","2021-02-27","境外移入","空值","3","877"
"1866","2021-02-25","境外移入","全區","5","874"
"1867","2021-02-25","境外移入","空值","5","874"
"1868","2021-02-24","境外移入","全區","4","869"
"1869","2021-02-24","境外移入","空值","4","869"
"1870","2021-02-20","境外移入","全區","1","865"
"1871","2021-02-20","境外移入","空值","1","865"
"1872","2021-02-19","境外移入","全區","1","864"
"1873","2021-02-19","境外移入","空值","1","864"
"1874","2021-02-18","境外移入","全區","2","863"
"1875","2021-02-18","境外移入","空值","2","863"
"1876","2021-02-17","境外移入","全區","1","861"
"1877","2021-02-17","境外移入","空值","1","861"
"1878","2021-02-12","境外移入","全區","1","860"
"1879","2021-02-12","境外移入","空值","1","860"
"1880","2021-02-11","境外移入","全區","1","859"
"1881","2021-02-11","境外移入","空值","1","859"
"1882","2021-02-10","境外移入","全區","2","858"
"1883","2021-02-10","境外移入","空值","2","858"
"1884","2021-02-09","境外移入","全區","4","856"
"1885","2021-02-09","境外移入","空值","4","856"
"1886","2021-02-09","桃園市","全區","1","36"
"1887","2021-02-09","桃園市","龜山區","1","8"
"1888","2021-02-08","境外移入","全區","1","852"
"1889","2021-02-08","境外移入","空值","1","852"
"1890","2021-02-07","境外移入","全區","3","851"
"1891","2021-02-07","境外移入","空值","3","851"
"1892","2021-02-06","境外移入","全區","1","848"
"1893","2021-02-06","境外移入","空值","1","848"
"1894","2021-02-05","境外移入","全區","3","847"
"1895","2021-02-05","境外移入","空值","3","847"
"1896","2021-02-05","桃園市","全區","1","35"
"1897","2021-02-05","桃園市","蘆竹區","1","9"
"1898","2021-02-04","境外移入","全區","2","844"
"1899","2021-02-04","境外移入","空值","2","844"
"1900","2021-02-03","境外移入","全區","2","842"
"1901","2021-02-03","境外移入","空值","2","842"
"1902","2021-02-02","境外移入","全區","3","840"
"1903","2021-02-02","境外移入","空值","3","840"
"1904","2021-02-01","境外移入","全區","1","837"
"1905","2021-02-01","境外移入","空值","1","837"